Fighter_1,Fighter_2,KD_1,KD_2,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,Weight_Class,Method,Round,Fight_Time,Event_Id,Result_1,Result_2,Time Format,Referee,Method Details,Sig. Str._1,Sig. Str._2,Sig. Str. %_1,Sig. Str. %_2,Sub. Att_1,Sub. Att_2,Rev._1,Rev._2,Ctrl_1,Ctrl_2,Head_%_1,Head_%_2,Body_%_1,Body_%_2,Leg_%_1,Leg_%_2,Distance_%_1,Distance_%_2,Clinch_%_1,Clinch_%_2,Ground_%_1,Ground_%_2,Total Str._%_1,Total Str._%_2
Marina Rodriguez,Amanda Ribas,1,0,15,7,0,1,0,0,Women's Strawweight,KO/TKO Punch,2,0:54,4304992c2acc187b,W,L,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,15 of 36,7 of 23,0.41,0.3,0,0,0,0,7,219,0.42,0.21,1.0,1.0,0.0,0.5,0.2,0.19,1.0,1.0,0.88,0.5,0.5,0.61
Arman Tsarukyan,Matt Frevola,0,0,50,16,10,0,0,0,Lightweight,U-DEC,3,5:00,4304992c2acc187b,W,L,3 Rnd (5-5-5),Lukasz Bosacki,Sal D'amato27 - 30.Clemens Werner27 - 30.Eric Colon26 - 30.,50 of 103,16 of 57,0.48,0.28,0,0,0,0,504,2,0.39,0.17,0.8,0.67,1.0,1.0,0.45,0.19,0.62,0.78,0.67,0,0.57,0.53
Brad Tavares,Antonio Carlos Junior,0,0,54,34,0,1,0,0,Middleweight,U-DEC,3,5:00,4304992c2acc187b,W,L,3 Rnd (5-5-5),Marc Goddard,Ben Cartlidge27 - 30.Anders Ohlsson27 - 30.David Lethaby28 - 29.,54 of 108,34 of 103,0.5,0.33,0,0,0,0,5,388,0.37,0.26,0.75,1.0,0.83,1.0,0.49,0.33,0.67,0.33,0,0,0.54,0.42
Julianna Pena,Sara McMann,0,0,38,21,1,3,1,0,Women's Bantamweight,SUB Rear Naked Choke,3,3:39,4304992c2acc187b,W,L,3 Rnd (5-5-5),Keith Peterson,Rear Naked Choke,38 of 76,21 of 54,0.5,0.38,1,0,0,0,175,441,0.42,0.26,1.0,0.7,0,0.8,0.35,0.28,1.0,1.0,0.89,0.6,0.73,0.44
Marcin Prachnio,Khalil Rountree Jr.,0,0,102,49,0,0,0,0,Light Heavyweight,U-DEC,3,5:00,4304992c2acc187b,L,W,3 Rnd (5-5-5),Herb Dean,Ben Cartlidge28 - 29.Eric Colon28 - 29.Anders Ohlsson28 - 29.,49 of 148,102 of 216,0.33,0.47,0,0,0,0,0,5,0.24,0.25,0.72,0.74,0.7,0.87,0.34,0.47,0.0,0.4,0,0,0.34,0.48
Movsar Evloev,Nik Lentz,0,0,82,46,2,1,0,2,Catch Weight,S-DEC,3,5:00,4304992c2acc187b,L,W,3 Rnd (5-5-5),Lukasz Bosacki,Ben Cartlidge28 - 29.Eric Colon29 - 28.Paul Sutherland28 - 29.,46 of 127,82 of 170,0.36,0.48,2,0,1,0,86,276,0.24,0.46,0.75,0.7,1.0,0.71,0.34,0.47,0.71,0,0,0.8,0.36,0.58
Amir Albazi,Zhalgas Zhumagulov,0,0,68,59,2,1,0,0,Flyweight,U-DEC,3,5:00,4304992c2acc187b,W,L,3 Rnd (5-5-5),Jason Herzog,Mike Bell28 - 29.Anders Ohlsson28 - 29.Clemens Werner28 - 29.,68 of 169,59 of 132,0.4,0.44,0,0,0,0,218,27,0.31,0.26,0.62,0.76,0.76,0.86,0.39,0.45,0.67,0.5,0.67,0.0,0.47,0.49
Michael Chiesa,Neil Magny,0,0,24,12,4,1,0,1,Welterweight,U-DEC,5,5:00,56116537d71a578c,W,L,5 Rnd (5-5-5-5-5),Marc Goddard,Mike Bell46 - 49.Sal D'amato46 - 49.David Lethaby46 - 49.,24 of 52,12 of 50,0.46,0.24,0,1,0,0,921,135,0.44,0.17,0.43,0.71,1.0,0.0,0.34,0.18,0.5,0.8,0.62,0,0.74,0.54
Warlley Alves,Mounir Lazzez,1,0,17,2,1,0,0,0,Welterweight,KO/TKO Kick,1,2:35,56116537d71a578c,W,L,3 Rnd (5-5-5),Herb Dean,Kick to Body At Distance,17 of 21,2 of 2,0.8,1.0,0,0,0,0,96,42,0.75,1.0,0.88,1.0,1.0,0,0.78,0,0.67,1.0,1.0,0,0.8,1.0
Ike Villanueva,Vinicius Moreira,1,0,24,24,0,0,0,0,Light Heavyweight,KO/TKO Punch,2,0:39,56116537d71a578c,W,L,3 Rnd (5-5-5),Jason Herzog,Punch to Head At Distance,24 of 56,24 of 42,0.42,0.57,0,0,0,0,2,0,0.38,0.4,0.67,0.56,0,0.71,0.43,0.56,0,1.0,0,0,0.43,0.57
Viviane Araujo,Roxanne Modafferi,0,0,86,46,4,0,1,0,Women's Flyweight,U-DEC,3,5:00,56116537d71a578c,L,W,3 Rnd (5-5-5),Keith Peterson,Sal D'amato27 - 30.David Lethaby27 - 30.Clemens Werner26 - 30.,46 of 184,86 of 198,0.25,0.43,0,1,0,0,39,186,0.23,0.42,0.67,0.62,1.0,0.67,0.25,0.44,0.33,0.5,0,0.0,0.25,0.47
Matt Schnell,Tyson Nam,0,0,85,58,0,0,0,0,Flyweight,S-DEC,3,5:00,56116537d71a578c,W,L,3 Rnd (5-5-5),Herb Dean,Mike Bell28 - 29.Anders Ohlsson28 - 29.Eric Colon29 - 28.,85 of 214,58 of 193,0.39,0.3,0,0,0,0,0,0,0.35,0.22,0.83,0.67,0.86,0.86,0.39,0.3,1.0,0,0,0,0.4,0.3
Lerone Murphy,Douglas Silva de Andrade,0,0,48,39,1,1,0,0,Featherweight,U-DEC,3,5:00,56116537d71a578c,W,L,3 Rnd (5-5-5),Marc Goddard,Ben Cartlidge28 - 29.David Lethaby28 - 29.Paul Sutherland27 - 30.,48 of 115,39 of 108,0.41,0.36,0,0,0,0,111,81,0.32,0.22,0.73,0.79,0.92,0.6,0.38,0.33,0.75,0.86,0.5,0,0.46,0.42
Omari Akhmedov,Tom Breese,0,0,25,1,2,0,1,3,Middleweight,SUB Arm Triangle,2,1:41,56116537d71a578c,W,L,3 Rnd (5-5-5),Lukasz Bosacki,Arm Triangle From Half Guard,25 of 38,1 of 4,0.65,0.25,1,3,0,1,274,60,0.68,0.0,0.33,0.5,1.0,0,0.57,0.25,0,0,0.68,0,0.8,0.5
Ricky Simon,Gaetano Pirrello,0,0,17,6,7,0,1,0,Bantamweight,SUB Arm Triangle,2,4:00,56116537d71a578c,W,L,3 Rnd (5-5-5),Keith Peterson,Arm Triangle From Mount,17 of 32,6 of 14,0.53,0.42,1,0,0,0,419,0,0.5,0.36,0.75,0,0,0.67,0.23,0.42,0.67,0.5,0.77,0,0.72,0.56
Sumudaerji,Zarrukh Adashev,0,0,50,28,0,0,0,0,Flyweight,U-DEC,3,5:00,56116537d71a578c,W,L,3 Rnd (5-5-5),Jason Herzog,Eric Colon28 - 29.Sal D'amato28 - 29.Clemens Werner27 - 30.,50 of 127,28 of 123,0.39,0.22,0,0,0,0,0,2,0.25,0.2,0.56,0.23,0.79,0.62,0.39,0.21,0,0.67,0,0,0.39,0.23
Dalcha Lungiambula,Markus Perez,0,0,29,25,1,0,0,1,Middleweight,U-DEC,3,5:00,56116537d71a578c,W,L,3 Rnd (5-5-5),Herb Dean,Mike Bell28 - 29.Anders Ohlsson28 - 29.Paul Sutherland28 - 29.,29 of 65,25 of 49,0.44,0.51,0,1,0,0,406,261,0.36,0.27,0.71,0.83,0.0,0.6,0.15,0.49,0.62,0.58,0.83,0,0.62,0.67
Francisco Figueiredo,Jerome Rivera,0,0,29,31,4,0,0,0,Flyweight,U-DEC,3,5:00,56116537d71a578c,W,L,3 Rnd (5-5-5),Marc Goddard,Ben Cartlidge28 - 29.David Lethaby28 - 29.Clemens Werner28 - 29.,29 of 53,31 of 134,0.54,0.23,0,0,0,1,427,67,0.39,0.13,0.64,0.4,0.79,0.46,0.5,0.2,1.0,0.41,0.56,0,0.6,0.43
Mike Davis,Mason Jones,0,0,108,117,3,1,0,0,Lightweight,U-DEC,3,5:00,56116537d71a578c,W,L,3 Rnd (5-5-5),Keith Peterson,Sal D'amato28 - 29.Eric Colon28 - 29.Anders Ohlsson28 - 29.,108 of 207,117 of 313,0.52,0.37,0,0,0,0,50,51,0.41,0.31,0.69,0.58,0.8,0.94,0.51,0.36,0.57,0.52,0.75,0.29,0.53,0.4
Umar Nurmagomedov,Sergey Morozov,0,0,25,7,5,0,1,0,Bantamweight,SUB Rear Naked Choke,2,3:39,56116537d71a578c,W,L,3 Rnd (5-5-5),Jason Herzog,Rear Naked Choke,25 of 41,7 of 30,0.6,0.23,1,0,0,0,177,8,0.56,0.1,0.44,0.43,1.0,0.67,0.53,0.24,1.0,0.0,1.0,0,0.67,0.26
Manon Fiorot,Victoria Leonardo,0,0,53,17,1,0,0,0,Women's Flyweight,KO/TKO Punches,2,4:08,56116537d71a578c,L,W,3 Rnd (5-5-5),Lukasz Bosacki,Punches to Head At Distance,17 of 81,53 of 100,0.2,0.53,0,0,0,0,2,85,0.12,0.43,0.27,0.74,0.64,0.89,0.2,0.51,0.4,0.67,0,0.33,0.22,0.55
Max Holloway,Calvin Kattar,0,0,445,133,0,0,0,0,Featherweight,U-DEC,5,5:00,307064d3e0f036c2,W,L,5 Rnd (5-5-5-5-5),Herb Dean,Mike Bell43 - 50.Ben Cartlidge43 - 50.David Lethaby42 - 50.,445 of 744,133 of 283,0.59,0.47,0,0,0,0,27,5,0.5,0.42,0.88,0.7,0.93,0.78,0.6,0.46,0.86,1.0,0,0,0.6,0.47
Carlos Condit,Matt Brown,0,0,39,28,2,1,0,0,Welterweight,U-DEC,3,5:00,307064d3e0f036c2,W,L,3 Rnd (5-5-5),Marc Goddard,Anders Ohlsson27 - 30.Paul Sutherland27 - 30.Clemens Werner27 - 30.,39 of 88,28 of 37,0.44,0.75,0,0,1,0,292,366,0.41,0.59,0.5,1.0,0.71,1.0,0.32,0.61,1.0,1.0,0.8,0.82,0.75,0.71
Li Jingliang,Santiago Ponzinibbio,1,0,21,11,0,0,0,0,Welterweight,KO/TKO Punch,1,4:25,307064d3e0f036c2,L,W,3 Rnd (5-5-5),Jason Herzog,Punch to Head At Distance,11 of 18,21 of 50,0.61,0.42,0,0,0,0,0,2,0.5,0.2,0,0.5,1.0,0.86,0.61,0.41,0,0,0,1.0,0.61,0.42
Alessio Di Chirico,Joaquin Buckley,1,0,12,3,0,0,0,0,Middleweight,KO/TKO Kick,1,2:12,307064d3e0f036c2,L,W,3 Rnd (5-5-5),Keith Peterson,Kick to Head At Distance,3 of 22,12 of 23,0.13,0.52,0,0,0,0,0,1,0.11,0.35,0.33,1.0,0,1.0,0.14,0.45,0,0,0,1.0,0.14,0.52
Punahele Soriano,Dusko Todorovic,2,0,30,22,0,0,0,0,Middleweight,KO/TKO Punch,1,4:48,307064d3e0f036c2,W,L,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,30 of 66,22 of 57,0.45,0.38,0,0,0,0,38,4,0.42,0.31,0.8,0.88,1.0,0,0.41,0.34,0.8,1.0,0.5,0,0.46,0.39
