Fighter_1,Fighter_2,KD_1,KD_2,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,Weight_Class,Method,Round,Fight_Time,Event_Id,Result_1,Result_2,Time Format,Referee,Method Details,Sig. Str._1,Sig. Str._2,Sig. Str. %_1,Sig. Str. %_2,Sub. Att_1,Sub. Att_2,Rev._1,Rev._2,Ctrl_1,Ctrl_2,Head_%_1,Head_%_2,Body_%_1,Body_%_2,Leg_%_1,Leg_%_2,Distance_%_1,Distance_%_2,Clinch_%_1,Clinch_%_2,Ground_%_1,Ground_%_2,Total Str._%_1,Total Str._%_2
Johnny Walker,Zhang Mingyang,1,0,50,20,0,0,0,0,Light Heavyweight,KO/TKO Punches,2,2:37,754968e325d6f60d,W,L,5 Rnd (5-5-5-5-5),Marc Goddard,Punches to Head On Ground,50 of 67,20 of 47,0.74,0.42,0,0,0,0,80,81,0.73,0.23,0.2,1.0,1.0,1.0,0.58,0.38,0.5,0.67,0.89,0.5,0.73,0.47
Aljamain Sterling,Brian Ortega,0,0,124,55,3,0,0,0,Catch Weight,U-DEC,5,5:00,754968e325d6f60d,L,W,5 Rnd (5-5-5-5-5),Herb Dean,Ben Cartlidge45 - 50.David Lethaby45 - 50.Vito Paolillo45 - 50.,55 of 174,124 of 227,0.31,0.54,0,0,0,0,8,235,0.22,0.44,0.69,0.81,0.71,1.0,0.31,0.51,0,1.0,1.0,0.77,0.44,0.58
Sergei Pavlovich,Waldo Cortes-Acosta,0,0,61,45,0,0,0,0,Heavyweight,U-DEC,3,5:00,754968e325d6f60d,W,L,3 Rnd (5-5-5),Marc Goddard,Evan Field27 - 30.Mark Christie28 - 29.Clemens Werner28 - 29.,61 of 133,45 of 117,0.45,0.38,0,0,0,0,8,0,0.34,0.31,0.86,0.4,0.93,0.74,0.46,0.39,0.5,0.0,0,0,0.46,0.38
Sumudaerji,Kevin Borjas,0,0,73,16,0,0,0,0,Flyweight,U-DEC,3,5:00,754968e325d6f60d,W,L,3 Rnd (5-5-5),Vitor Ribeiro,Ben Cartlidge27 - 30.Mark Christie27 - 30.Dave Tirelli27 - 30.,73 of 129,16 of 44,0.56,0.36,0,0,0,0,17,209,0.44,0.23,0.68,0.71,0.79,0.57,0.55,0.27,0.75,0.86,0,0,0.61,0.45
Taiyilake Nueraji,Kiefer Crosbie,0,0,27,2,1,0,0,0,Welterweight,KO/TKO Elbows,1,3:33,754968e325d6f60d,W,L,3 Rnd (5-5-5),Marc Goddard,Elbows to Head On Ground,27 of 38,2 of 3,0.71,0.66,0,0,0,0,191,8,0.71,1.0,0.67,1.0,0,0.0,0.67,0.67,0,0,0.71,0,0.74,0.92
Gauge Young,Maheshate,0,0,112,66,3,0,0,0,Lightweight,U-DEC,3,5:00,754968e325d6f60d,L,W,3 Rnd (5-5-5),Herb Dean,David Lethaby27 - 30.Ben Cartlidge28 - 29.Evan Field28 - 29.,66 of 150,112 of 200,0.44,0.56,0,0,0,0,12,231,0.36,0.46,0.67,0.72,0.86,0.83,0.42,0.54,0.86,0.8,0,1.0,0.48,0.59
Charles Johnson,Lone'er Kavanagh,1,0,44,59,1,1,0,1,Flyweight,KO/TKO Punch,2,4:35,754968e325d6f60d,W,L,3 Rnd (5-5-5),Jim Perdios,Punch to Head At Distance,44 of 81,59 of 120,0.54,0.49,0,1,0,1,32,59,0.37,0.39,0.6,0.81,0.91,0.55,0.52,0.48,0.67,0.67,0.75,0,0.58,0.5
Rongzhu,Austin Hubbard,0,0,101,75,0,2,0,0,Lightweight,U-DEC,3,5:00,754968e325d6f60d,W,L,3 Rnd (5-5-5),Vitor Ribeiro,Clemens Werner27 - 30.David Lethaby28 - 29.Evan Field28 - 29.,101 of 197,75 of 226,0.51,0.33,0,0,0,0,0,62,0.42,0.25,0.75,0.56,1.0,0.67,0.52,0.33,0.38,0.4,0,0.0,0.52,0.34
Kyle Daukaus,Michel Pereira,1,0,5,2,0,0,0,0,Middleweight,KO/TKO Elbows,1,0:43,754968e325d6f60d,L,W,3 Rnd (5-5-5),Marc Goddard,Elbows to Head From Guard,2 of 4,5 of 8,0.5,0.62,0,0,0,0,0,7,0.0,0.62,0.67,0,0,0,0.5,1.0,0,0,0,0.57,0.5,0.58
Yizha,Westin Wilson,2,0,13,0,0,0,0,0,Featherweight,KO/TKO Punches,1,0:37,754968e325d6f60d,W,L,3 Rnd (5-5-5),Herb Dean,Punches to Head At Distance,13 of 18,0 of 2,0.72,0.0,0,0,0,0,6,0,0.67,0.0,0,0,1.0,0.0,0.75,0.0,0.67,0,0.67,0,0.74,0.0
SuYoung You,Xiao Long,0,0,58,68,0,0,0,0,Bantamweight,U-DEC,3,5:00,754968e325d6f60d,L,W,3 Rnd (5-5-5),Jim Perdios,Ben Cartlidge28 - 29.Mark Christie28 - 29.Dave Tirelli28 - 29.,68 of 214,58 of 110,0.31,0.52,0,0,0,0,20,7,0.31,0.47,0.33,0.91,0.33,0.8,0.22,0.49,0.73,0.73,0,0,0.35,0.55
Uran Satybaldiev,Diyar Nurgozhay,1,0,2,7,0,1,2,0,Light Heavyweight,SUB Ezekiel Choke,1,2:45,754968e325d6f60d,W,L,3 Rnd (5-5-5),Vitor Ribeiro,Ezekiel Choke From Guard,2 of 9,7 of 11,0.22,0.63,2,0,1,0,70,18,0.25,0.33,0.0,0.6,1.0,1.0,0.25,0.64,0,0,0.0,0,0.3,0.68
Khamzat Chimaev,Dricus Du Plessis,0,0,37,13,12,1,0,1,Middleweight,U-DEC,5,5:00,421ccfc6ddb17958,L,W,5 Rnd (5-5-5-5-5),Marc Goddard,Sal D'amato44 - 50.Ron McCarthy44 - 50.Derek Cleary44 - 50.,13 of 29,37 of 47,0.44,0.78,1,0,0,0,53,1300,0.42,0.78,0.5,0.6,1.0,1.0,0.4,0.63,0,0,0.75,0.89,0.66,0.93
Lerone Murphy,Aaron Pico,1,0,8,13,0,2,1,0,Featherweight,KO/TKO Spinning Back Elbow,1,3:21,421ccfc6ddb17958,W,L,3 Rnd (5-5-5),Herb Dean,Spinning Back Elbow to Head At Distance,8 of 16,13 of 29,0.5,0.44,1,0,0,0,0,121,0.44,0.3,0.67,1.0,0.0,1.0,0.43,0.33,1.0,0.6,1.0,1.0,0.5,0.43
Carlos Prates,Geoff Neal,1,0,32,25,0,0,0,0,Welterweight,KO/TKO Spinning Back Elbow,1,4:59,421ccfc6ddb17958,L,W,3 Rnd (5-5-5),Jason Herzog,Spinning Back Elbow to Head At Distance,25 of 49,32 of 60,0.51,0.53,0,0,0,0,15,0,0.42,0.38,0.67,1.0,1.0,1.0,0.51,0.55,0.5,0.0,0,0,0.52,0.53
Michael Page,Jared Cannonier,0,0,29,20,0,2,0,0,Middleweight,U-DEC,3,5:00,421ccfc6ddb17958,L,W,3 Rnd (5-5-5),Marc Goddard,Sal D'amato28 - 29.Derek Cleary28 - 29.Brandon Mason28 - 29.,20 of 57,29 of 55,0.35,0.52,0,0,0,0,494,1,0.22,0.42,0.67,1.0,1.0,1.0,0.24,0.51,0.75,1.0,0.75,0,0.52,0.56
Tim Elliott,Kai Asakura,0,0,27,21,2,0,2,0,Flyweight,SUB Guillotine Choke,2,4:39,421ccfc6ddb17958,W,L,3 Rnd (5-5-5),Robert Madrigal,Guillotine Choke From Mount,27 of 71,21 of 87,0.38,0.24,2,0,0,0,114,1,0.42,0.22,0.11,0.43,0.7,1.0,0.38,0.24,0,0,0.5,0,0.48,0.37
Baisangur Susurkaev,Eric Nolan,0,0,36,22,2,0,1,0,Middleweight,SUB Rear Naked Choke,2,2:01,421ccfc6ddb17958,W,L,3 Rnd (5-5-5),Jason Herzog,Rear Naked Choke,36 of 62,22 of 56,0.58,0.39,1,0,0,0,199,17,0.5,0.33,0.7,1.0,1.0,0,0.52,0.38,0.67,0.44,0.71,0,0.66,0.41
Michal Oleksiejczuk,Gerald Meerschaert,1,0,23,3,0,0,0,0,Middleweight,KO/TKO Punches,1,3:03,421ccfc6ddb17958,L,W,3 Rnd (5-5-5),Herb Dean,Punches to Head On Ground,3 of 16,23 of 51,0.18,0.45,0,0,0,0,0,22,0.14,0.39,0,1.0,0.5,0,0.19,0.35,0,0,0,0.6,0.19,0.45
Loopy Godinez,Jessica Andrade,0,0,107,90,1,0,0,0,Women's Strawweight,U-DEC,3,5:00,421ccfc6ddb17958,L,W,3 Rnd (5-5-5),Nick Cimmarusti,Ron McCarthy28 - 29.Eric Colon28 - 29.Josh Stewart28 - 29.,90 of 287,107 of 213,0.31,0.5,0,0,0,0,17,93,0.24,0.47,0.68,0.86,0.79,1.0,0.31,0.48,0.38,0.69,0,1.0,0.33,0.53
Alexander Hernandez,Chase Hooper,1,0,17,20,0,0,0,0,Lightweight,KO/TKO Punch,1,4:58,421ccfc6ddb17958,L,W,3 Rnd (5-5-5),Jason Herzog,Punch to Head At Distance,20 of 82,17 of 38,0.24,0.44,0,0,0,0,5,2,0.11,0.4,0.58,1.0,0.75,0,0.25,0.39,0.0,0,0,0.8,0.24,0.46
Drakkar Klose,Edson Barboza,0,0,53,71,0,0,0,0,Lightweight,U-DEC,3,5:00,421ccfc6ddb17958,L,W,3 Rnd (5-5-5),Marc Goddard,Sal D'amato28 - 29.Derek Cleary28 - 29.Brandon Mason28 - 29.,71 of 120,53 of 102,0.59,0.51,0,0,0,0,230,153,0.41,0.45,0.84,0.67,0.72,0.8,0.54,0.48,0.93,0.77,0,0,0.6,0.7
Karine Silva,Dione Barbosa,0,0,26,31,1,3,2,1,Women's Flyweight,U-DEC,3,5:00,421ccfc6ddb17958,W,L,3 Rnd (5-5-5),Robert Madrigal,Eric Colon28 - 29.Scot Jones28 - 29.Josh Stewart28 - 29.,26 of 70,31 of 87,0.37,0.35,2,1,1,1,143,318,0.22,0.18,0.64,0.79,1.0,0.83,0.33,0.33,1.0,0.8,0,0.5,0.58,0.51
Joseph Morales,Alibi Idiris,0,0,29,28,2,0,2,0,Flyweight,SUB Triangle Choke,2,3:04,421ccfc6ddb17958,L,W,3 Rnd + OT (5-5-5-5),Nick Cimmarusti,Triangle Choke From Bottom Guard,28 of 56,29 of 63,0.5,0.46,0,2,1,0,64,218,0.26,0.34,0.89,0.72,1.0,1.0,0.46,0.38,0.75,0.75,0,0.5,0.61,0.51
Anthony Hernandez,Roman Dolidze,0,0,91,36,9,0,1,0,Middleweight,SUB Rear Naked Choke,4,2:45,6cd3dfc54f01287f,L,W,5 Rnd (5-5-5-5-5),Herb Dean,Rear Naked Choke,36 of 107,91 of 152,0.33,0.59,0,1,0,0,45,468,0.28,0.52,0.36,1.0,0.88,1.0,0.34,0.47,0.33,0.72,0,0.94,0.35,0.64
Steve Erceg,Ode Osbourne,0,0,20,35,3,1,1,0,Bantamweight,U-DEC,3,5:00,6cd3dfc54f01287f,W,L,3 Rnd (5-5-5),Mark Smith,Ben Cartlidge28 - 29.Eric Colon28 - 29.Junichiro Kamijo28 - 29.,20 of 53,35 of 74,0.37,0.47,1,0,0,1,287,69,0.24,0.38,0.91,0.57,0,0.79,0.28,0.43,0.75,1.0,1.0,1.0,0.48,0.53
Iasmin Lucindo,Angela Hill,0,0,72,64,3,0,0,1,Women's Strawweight,U-DEC,3,5:00,6cd3dfc54f01287f,W,L,3 Rnd (5-5-5),Chris Tognoni,Mike Bell27 - 30.Sal D'amato27 - 30.Ben Cartlidge28 - 29.,72 of 151,64 of 110,0.47,0.58,0,1,0,0,337,79,0.44,0.5,0.63,0.83,1.0,1.0,0.44,0.57,0.65,0.67,1.0,0,0.53,0.62
Andre Fili,Christian Rodriguez,0,0,64,83,3,1,0,0,Featherweight,S-DEC,3,5:00,6cd3dfc54f01287f,W,L,3 Rnd (5-5-5),Mike Beltran,Eric Colon28 - 29.Chris Lee29 - 28.Anthony Maness27 - 30.,64 of 182,83 of 174,0.35,0.47,0,0,0,0,102,95,0.32,0.38,0.6,0.62,0.75,0.84,0.35,0.44,0.67,0.81,0,1.0,0.38,0.5
Jean Matsumoto,Miles Johns,0,0,95,83,0,5,2,0,Bantamweight,S-DEC,3,5:00,6cd3dfc54f01287f,L,W,3 Rnd (5-5-5),Herb Dean,Mike Bell28 - 29.Ben Cartlidge29 - 28.Sal D'amato28 - 29.,83 of 184,95 of 233,0.45,0.4,0,2,0,1,192,56,0.41,0.31,0.92,0.71,1.0,0.54,0.45,0.39,0.62,0.89,0.0,0,0.47,0.44
Christian Leroy Duncan,Eryk Anders,1,0,24,7,0,1,0,0,Middleweight,KO/TKO Punches,1,3:53,6cd3dfc54f01287f,L,W,3 Rnd (5-5-5),Mark Smith,Punches to Head At Distance,7 of 12,24 of 43,0.58,0.55,0,0,0,0,78,39,0.29,0.35,1.0,0.75,1.0,0.92,0.44,0.54,1.0,1.0,0,0.33,0.75,0.59
Julius Walker,Rafael Cerqueira,1,0,44,19,6,0,0,0,Light Heavyweight,U-DEC,3,5:00,6cd3dfc54f01287f,W,L,3 Rnd (5-5-5),Mike Beltran,Chris Lee27 - 30.Anthony Maness27 - 30.Ben Cartlidge26 - 30.,44 of 62,19 of 42,0.7,0.45,0,0,0,0,706,27,0.6,0.41,0.9,0.0,1.0,1.0,0.69,0.45,0.44,0,0.81,0,0.8,0.56
Elijah Smith,Toshiomi Kazama,0,0,37,0,0,1,0,1,Bantamweight,KO/TKO Slam,1,4:10,6cd3dfc54f01287f,W,L,3 Rnd (5-5-5),Chris Tognoni,Slam to   On Ground,37 of 46,0 of 0,0.8,,0,1,1,1,229,5,0.8,0,1.0,0,0,0,0.33,0,0,0,0.84,0,0.82,1.0
Joselyne Edwards,Priscila Cachoeira,1,0,26,18,0,0,0,0,Women's Bantamweight,KO/TKO Punch,1,2:24,6cd3dfc54f01287f,W,L,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,26 of 44,18 of 50,0.59,0.36,0,0,0,0,1,0,0.55,0.32,0.5,1.0,1.0,1.0,0.57,0.36,0,0,1.0,0,0.59,0.36
Uros Medic,Gilbert Urbina,1,1,5,5,0,0,0,0,Welterweight,KO/TKO Punch,1,1:03,6cd3dfc54f01287f,W,L,3 Rnd (5-5-5),Mark Smith,Punch to Head At Distance,5 of 9,5 of 10,0.55,0.5,0,0,0,0,1,2,0.5,0.43,1.0,0.5,0,1.0,0.43,0.5,1.0,0,1.0,0,0.6,0.5
Gabriella Fernandes,Julija Stoliarenko,0,0,59,61,0,0,0,0,Women's Flyweight,U-DEC,3,5:00,6cd3dfc54f01287f,W,L,3 Rnd (5-5-5),Mike Beltran,Junichiro Kamijo27 - 30.Sal D'amato28 - 29.Eric Colon28 - 29.,59 of 114,61 of 161,0.51,0.37,0,0,0,0,0,74,0.42,0.24,0.88,0.65,1.0,0.83,0.52,0.36,0.5,0.71,0,0,0.52,0.38
Eric McConico,Cody Brundage,0,0,26,31,0,3,0,0,Light Heavyweight,S-DEC,3,5:00,6cd3dfc54f01287f,L,W,3 Rnd (5-5-5),Chris Tognoni,Ben Cartlidge28 - 29.Chris Lee30 - 27.Tony Weeks28 - 29.,31 of 65,26 of 72,0.47,0.36,0,0,0,0,328,192,0.46,0.31,0.6,0.54,0.67,1.0,0.42,0.3,0.6,0.53,0,0,0.55,0.53
Tatsuro Taira,HyunSung Park,1,0,7,3,4,0,1,0,Flyweight,SUB Neck Crank,2,1:06,f2c934689243fe4e,W,L,5 Rnd (5-5-5-5-5),Mark Smith,Neck Crank From Back Control,7 of 11,3 of 9,0.63,0.33,1,0,0,0,281,0,0.6,0.17,0,0,1.0,0.67,0.57,0.29,0,0.0,0.75,1.0,0.65,0.71
Chris Duncan,Mateusz Rebecki,0,0,92,114,0,2,0,0,Lightweight,U-DEC,3,5:00,f2c934689243fe4e,L,W,3 Rnd (5-5-5),Kerry Hatley,Mike Bell28 - 29.Ron McCarthy28 - 29.Junichiro Kamijo27 - 30.,114 of 267,92 of 222,0.42,0.41,0,0,0,0,83,27,0.37,0.37,0.54,0.57,1.0,0.83,0.41,0.4,0.91,0.88,0,0,0.44,0.42
Esteban Ribovics,Elves Brener,0,0,122,118,0,0,0,0,Lightweight,U-DEC,3,5:00,f2c934689243fe4e,L,W,3 Rnd (5-5-5),Chris Tognoni,Derek Cleary28 - 29.Sal D'amato27 - 30.Rick Winter27 - 30.,118 of 250,122 of 281,0.47,0.43,0,0,0,0,0,62,0.42,0.37,0.65,0.79,0.94,0.68,0.48,0.43,0.0,0,0,0.62,0.48,0.43
Karol Rosa,Nora Cornolle,0,0,33,27,2,0,2,0,Women's Bantamweight,U-DEC,3,5:00,f2c934689243fe4e,W,L,3 Rnd (5-5-5),Kerry Hatley,Mike Bell26 - 30.Chris Lee27 - 29.Ron McCarthy27 - 29.,33 of 58,27 of 47,0.56,0.57,2,0,0,0,685,0,0.53,0.45,0.75,1.0,0.67,0.8,0.4,0.47,1.0,0.91,0.76,0,0.85,0.77
Neil Magny,Elizeu Zaleski dos Santos,0,0,42,20,2,1,0,0,Welterweight,KO/TKO Punches,2,4:39,f2c934689243fe4e,W,L,3 Rnd (5-5-5),Mark Smith,Punches to Head From Back Control,42 of 67,20 of 42,0.62,0.47,0,0,0,0,79,280,0.62,0.21,1.0,0.8,0.0,0.85,0.44,0.45,1.0,0.75,0.95,0,0.71,0.61
Kevin Vallejos,Danny Silva,0,0,90,69,2,1,0,0,Featherweight,U-DEC,3,5:00,f2c934689243fe4e,L,W,3 Rnd (5-5-5),Chris Tognoni,Ron McCarthy28 - 29.Mike Bell27 - 30.Tony Weeks27 - 30.,69 of 164,90 of 229,0.42,0.39,0,0,0,0,22,74,0.38,0.33,0.71,0.66,0.5,0.75,0.42,0.37,0.25,0.75,0,0,0.43,0.39
Rinya Nakamura,Nathan Fletcher,1,0,12,3,0,0,0,0,Bantamweight,KO/TKO Kick,1,1:02,f2c934689243fe4e,W,L,3 Rnd (5-5-5),Kerry Hatley,Kick to Body At Distance,12 of 19,3 of 7,0.63,0.42,0,0,0,0,2,0,0.46,0.0,1.0,1.0,1.0,0.4,0.53,0.43,0,0,1.0,0,0.63,0.43
Rodolfo Vieira,Tresean Gore,0,0,89,41,1,0,0,0,Middleweight,U-DEC,3,5:00,f2c934689243fe4e,W,L,3 Rnd (5-5-5),Mark Smith,Chris Lee28 - 29.Ron McCarthy27 - 30.Rick Winter27 - 30.,89 of 159,41 of 114,0.55,0.35,0,0,0,0,194,2,0.43,0.25,0.88,0.4,1.0,0.94,0.56,0.36,0.5,0,0,0,0.57,0.4
Andrey Pulyaev,Nick Klein,1,0,23,10,0,4,0,1,Middleweight,KO/TKO Kick,2,1:31,f2c934689243fe4e,L,W,3 Rnd (5-5-5),Chris Tognoni,Kick to Body At Distance,10 of 21,23 of 31,0.47,0.74,1,0,0,0,285,2,0.38,0.68,0.62,0.89,0,0,0.27,0.67,0.7,0.82,0,1.0,0.58,0.79
Austin Bashi,John Yannis,0,0,2,0,1,0,1,0,Featherweight,SUB Rear Naked Choke,1,3:39,f2c934689243fe4e,W,L,3 Rnd (5-5-5),Mark Smith,Rear Naked Choke,2 of 7,0 of 5,0.28,0.0,1,0,0,0,173,0,0.29,0.0,0,0.0,0,0,0.33,0.0,0,0,0.0,0,0.72,0.22
Rafael Estevam,Felipe Bunes,0,0,33,26,5,0,0,2,Flyweight,U-DEC,3,5:00,f2c934689243fe4e,W,L,3 Rnd (5-5-5),Kerry Hatley,Sal D'amato28 - 29.Chris Lee28 - 29.Ron McCarthy28 - 29.,33 of 70,26 of 56,0.47,0.46,0,2,0,0,642,3,0.44,0.38,0.36,0.45,1.0,1.0,0.44,0.46,1.0,0.5,0.58,0,0.63,0.51
Piera Rodriguez,Ketlen Souza,0,0,64,56,7,0,0,0,Women's Strawweight,S-DEC,3,5:00,f2c934689243fe4e,W,L,3 Rnd (5-5-5),Chris Tognoni,Mike Bell28 - 29.Derek Cleary29 - 28.Sal D'amato28 - 29.,64 of 150,56 of 103,0.42,0.54,0,0,0,0,276,101,0.3,0.4,0.62,0.77,0.62,0.94,0.38,0.52,0.67,0.73,0,0,0.47,0.62
Reinier de Ridder,Robert Whittaker,0,1,67,66,2,0,0,0,Middleweight,S-DEC,5,5:00,28d8638ea0a71908,L,W,5 Rnd (5-5-5-5-5),Marc Goddard,Ben Cartlidge47 - 48.Mike Bell48 - 47.David Lethaby47 - 48.,66 of 142,67 of 145,0.46,0.46,0,0,0,0,36,546,0.46,0.39,0.57,0.65,0,0,0.41,0.42,0.8,0.82,0.79,0.67,0.48,0.68
Petr Yan,Marcus McGhee,0,0,81,64,1,0,0,0,Bantamweight,U-DEC,3,5:00,28d8638ea0a71908,W,L,3 Rnd (5-5-5),Daniel Movahedi,Mike Bell28 - 29.Sal D'amato28 - 29.Clemens Werner28 - 29.,81 of 146,64 of 170,0.55,0.37,0,0,0,0,191,30,0.52,0.34,0.83,0.44,0.67,0.5,0.51,0.38,0.72,0.4,0,0,0.64,0.38
Shara Magomedov,Marc-Andre Barriault,0,0,93,39,0,2,0,0,Middleweight,U-DEC,3,5:00,28d8638ea0a71908,W,L,3 Rnd (5-5-5),Jim Perdios,Ben Cartlidge27 - 30.Mark Collett27 - 30.Anders Ohlsson27 - 30.,93 of 142,39 of 77,0.65,0.5,0,0,0,0,57,270,0.51,0.44,0.82,0.68,0.89,0.5,0.62,0.38,0.77,0.86,0.5,0,0.67,0.6
Asu Almabayev,Jose Ochoa,0,0,22,26,7,1,2,2,Flyweight,U-DEC,3,5:00,28d8638ea0a71908,W,L,3 Rnd (5-5-5),Jason Herzog,David Lethaby27 - 30.Clemens Werner27 - 30.Mark Collett28 - 29.,22 of 42,26 of 45,0.52,0.57,2,2,0,0,566,56,0.46,0.42,0.45,0.72,1.0,0.62,0.65,0.52,0.5,0.75,0.38,0,0.61,0.78
Bogdan Guskov,Nikita Krylov,1,0,23,16,0,0,0,0,Light Heavyweight,KO/TKO Punches,1,4:18,28d8638ea0a71908,L,W,3 Rnd (5-5-5),Marc Goddard,Punches to Head On Ground,16 of 34,23 of 43,0.47,0.53,0,0,0,0,0,17,0.3,0.5,0.6,1.0,0.78,1.0,0.47,0.42,0,0,0,0.71,0.47,0.58
Bryce Mitchell,Said Nurmagomedov,0,1,13,20,3,0,0,1,Bantamweight,U-DEC,3,5:00,28d8638ea0a71908,W,L,3 Rnd (5-5-5),Jim Perdios,Ben Cartlidge28 - 29.David Lethaby28 - 29.Anders Ohlsson28 - 29.,13 of 20,20 of 32,0.65,0.62,0,1,1,2,584,193,0.5,0.54,0.64,1.0,1.0,0.67,0.45,0.68,0.89,0.33,0,0.6,0.76,0.79
Muslim Salikhov,Carlos Leal,1,0,3,5,0,0,0,0,Welterweight,KO/TKO Punch,1,0:42,28d8638ea0a71908,W,L,3 Rnd (5-5-5),Daniel Movahedi,Punch to Head At Distance,3 of 9,5 of 9,0.33,0.55,0,0,0,0,0,0,0.25,0.56,0.25,0,1.0,0,0.33,0.62,0,0.0,0,0,0.33,0.56
Davey Grant,Da'Mon Blackshear,0,0,66,33,0,1,0,1,Bantamweight,U-DEC,3,5:00,28d8638ea0a71908,W,L,3 Rnd (5-5-5),Jason Herzog,Mark Collett28 - 29.David Lethaby28 - 29.Anders Ohlsson28 - 29.,66 of 130,33 of 74,0.5,0.44,0,1,0,0,19,232,0.25,0.27,0.69,0.54,0.92,0.88,0.51,0.43,1.0,1.0,0.0,1.0,0.5,0.46
Tabatha Ricci,Amanda Ribas,0,0,34,30,1,1,0,0,Women's Strawweight,KO/TKO Elbow,2,2:59,28d8638ea0a71908,L,W,3 Rnd (5-5-5),Daniel Movahedi,Elbow to Head In Clinch,30 of 72,34 of 76,0.41,0.44,0,0,0,0,18,251,0.32,0.38,0.83,0.6,0.78,0.83,0.43,0.33,0.25,0.8,0,1.0,0.63,0.59
Billy Elekana,Ibo Aslan,0,0,35,28,0,0,0,0,Light Heavyweight,U-DEC,3,5:00,28d8638ea0a71908,L,W,3 Rnd (5-5-5),Jim Perdios,Mark Collett27 - 30.Anders Ohlsson27 - 30.Ben Cartlidge28 - 29.,28 of 78,35 of 68,0.35,0.51,0,0,0,0,0,0,0.18,0.39,0.8,0.81,0.91,0.0,0.36,0.51,0,0,0,0,0.36,0.51
Steven Nguyen,Mohammad Yahya,6,0,92,57,0,0,0,0,Featherweight,KO/TKO,2,5:00,28d8638ea0a71908,L,W,3 Rnd (5-5-5),Jason Herzog,"to    
      Referee Stoppage",57 of 151,92 of 174,0.37,0.52,0,0,0,0,5,163,0.33,0.49,0.67,1.0,0.5,0.86,0.38,0.45,0,1.0,0,0.62,0.39,0.56
Martin Buday,Marcus Buchecha,0,0,41,24,0,1,0,0,Heavyweight,U-DEC,3,5:00,28d8638ea0a71908,W,L,3 Rnd (5-5-5),Jim Perdios,Mike Bell28 - 29.Ben Cartlidge28 - 29.Sal D'amato28 - 29.,41 of 86,24 of 60,0.47,0.4,0,0,2,1,171,305,0.41,0.3,1.0,0.71,0.86,0,0.49,0.32,0.67,0.75,0.17,1.0,0.61,0.57
Max Holloway,Dustin Poirier,1,1,198,109,0,0,0,1,Lightweight,U-DEC,5,5:00,b8e2f10efb6eca85,W,L,5 Rnd (5-5-5-5-5),Jason Herzog,Derek Cleary47 - 48.Sal D'amato46 - 49.Eric Colon46 - 49.,198 of 375,109 of 255,0.52,0.42,0,1,0,0,92,12,0.41,0.4,0.8,0.6,0.74,0.9,0.52,0.42,0.0,0.5,0.7,0.67,0.53,0.43
Paulo Costa,Roman Kopylov,1,0,99,48,0,0,0,0,Middleweight,U-DEC,3,5:00,b8e2f10efb6eca85,W,L,3 Rnd (5-5-5),Herb Dean,Derek Cleary27 - 30.Eric Colon27 - 30.Chris Lee28 - 29.,99 of 159,48 of 104,0.62,0.46,0,0,0,0,13,0,0.38,0.37,0.89,0.7,1.0,1.0,0.62,0.46,1.0,0,0.6,0,0.63,0.46
Daniel Rodriguez,Kevin Holland,2,1,77,82,0,1,0,0,Welterweight,U-DEC,3,5:00,b8e2f10efb6eca85,L,W,3 Rnd (5-5-5),Mike Beltran,Sal D'amato28 - 29.Junichiro Kamijo28 - 29.Chris Lee28 - 29.,82 of 173,77 of 149,0.47,0.51,0,0,0,0,127,214,0.42,0.46,0.59,0.5,0.64,0.88,0.44,0.5,0.63,0.86,0.56,0.49,0.54,0.59
Patricio Freire,Dan Ige,0,0,55,47,5,0,0,0,Featherweight,U-DEC,3,5:00,b8e2f10efb6eca85,L,W,3 Rnd (5-5-5),Dan Miragliotta,Eric Colon28 - 29.Sal D'amato28 - 29.Junichiro Kamijo28 - 29.,47 of 124,55 of 97,0.37,0.56,0,0,0,0,8,164,0.26,0.51,0.65,0.9,1.0,0.8,0.35,0.51,0.6,0.82,0.6,1.0,0.41,0.62
Michael Johnson,Daniel Zellhuber,1,0,80,52,0,0,0,0,Lightweight,U-DEC,3,5:00,b8e2f10efb6eca85,W,L,3 Rnd (5-5-5),Kerry Hatley,Derek Cleary28 - 29.Eric Colon28 - 29.Junichiro Kamijo28 - 29.,80 of 195,52 of 182,0.41,0.28,0,0,0,0,22,8,0.27,0.15,0.52,0.56,0.79,0.67,0.41,0.28,0,1.0,0.5,1.0,0.41,0.29
Vinicius Oliveira,Kyler Phillips,1,0,96,49,1,0,0,0,Bantamweight,U-DEC,3,5:00,b8e2f10efb6eca85,L,W,3 Rnd (5-5-5),Chris Hill,Robbie Scheuermann28 - 29.Sal D'amato28 - 29.Chris Lee28 - 29.,49 of 151,96 of 232,0.32,0.41,0,0,0,0,9,140,0.26,0.32,0.59,0.52,1.0,0.86,0.32,0.38,0,0.71,0,0.67,0.35,0.43
